"outcome","month","MMWR week","Age group","Vaccine product","Vaccinated with outcome","Fully vaccinated population","Unvaccinated with outcome","Unvaccinated population","Crude vax IR","Crude unvax IR","Crude IRR","Age adjusted vax IR","Age adjusted unvax IR","Age adjusted IRR","Continuity correction"
"case","APR 2021","202114","12-17","all_types","8","36,887","30,785","17,556,462","21.687857511","175.348541181","8.085102048",,,,"0"
"case","APR 2021","202114","18-29","all_types","674","2,543,093","76,736","31,091,322","26.503159735","246.808418117","9.312414844",,,,"0"
"case","APR 2021","202114","30-49","all_types","1,847","7,428,405","98,436","41,074,337","24.864018588","239.653290082","9.638558193",,,,"0"
"case","APR 2021","202114","50-64","all_types","1,558","7,487,444","50,324","22,948,569","20.808168983","219.290361852","10.538666907",,,,"0"
"case","APR 2021","202114","65-79","all_types","1,672","14,398,099","14,880","7,675,907","11.612644141","193.853312709","16.693296578",,,,"0"
"case","APR 2021","202114","80+","all_types","805","4,962,963","3,757","2,524,581","16.220149133","148.816773952","9.174809229",,,,"0"
"case","APR 2021","202114","all_ages_adj","all_types","6,564","36,856,891","274,918","122,871,178","17.809424023","223.744904602","12.56328696","22.280323501","221.871291923","9.958171923","0"
"case","APR 2021","202114","all_ages_adj","Janssen","1,156","2,256,251","274,918","122,871,178","51.235434355","223.744904602","4.36699537","58.238599105","221.871291923","3.809694864","0"
"case","APR 2021","202114","all_ages_adj","Moderna","1,801","16,202,440","274,918","122,871,178","11.115609748","223.744904602","20.128891683","23.932620309","221.871291923","9.270664434","0"
"case","APR 2021","202114","all_ages_adj","Pfizer","3,580","18,346,519","274,918","122,871,178","19.513238451","223.744904602","11.46631325","22.490518145","221.871291923","9.865103618","0"
"case","APR 2021","202115","12-17","all_types","5","54,519","30,598","17,294,946","9.171114657","176.918736838","19.290865227",,,,"0"
"case","APR 2021","202115","18-29","all_types","745","3,160,878","70,484","29,190,542","23.569400654","241.461772104","10.244714138",,,,"0"
"case","APR 2021","202115","30-49","all_types","2,116","9,097,349","91,823","37,970,059","23.259523186","241.830016645","10.39703242",,,,"0"
"case","APR 2021","202115","50-64","all_types","1,914","9,628,898","45,460","20,820,568","19.87766409","218.341785873","10.984277875",,,,"0"
"case","APR 2021","202115","65-79","all_types","1,982","16,557,222","14,128","7,029,194","11.970607147","200.990326914","16.790320195",,,,"0"
"case","APR 2021","202115","80+","all_types","941","5,410,448","3,425","2,383,416","17.392275094","143.701309381","8.262364101",,,,"0"
"case","APR 2021","202115","all_ages_adj","all_types","7,703","43,909,314","255,918","114,688,725","17.542975051","223.141376801","12.719699832","19.740130759","222.228075114","11.257679994","1"
"case","APR 2021","202115","all_ages_adj","Janssen","1,467","2,943,653","255,918","114,688,725","49.83603706","223.141376801","4.477510452","53.270858897","222.228075114","4.171663076","1"
"case","APR 2021","202115","all_ages_adj","Moderna","2,062","19,010,273","255,918","114,688,725","10.846766903","223.141376801","20.572155628","12.26615824","222.228075114","18.117170084","1"
"case","APR 2021","202115","all_ages_adj","Pfizer","4,155","21,899,432","255,918","114,688,725","18.973094827","223.141376801","11.760937202","20.051703265","222.228075114","11.08275303","1"
"case","APR 2021","202116","12-17","all_types","8","84,855","26,222","17,014,476","9.427847505","154.115824666","16.346872878",,,,"0"
"case","APR 2021","202116","18-29","all_types","899","4,115,213","54,626","27,645,078","21.845770802","197.59756149","9.045117395",,,,"0"
"case","APR 2021","202116","30-49","all_types","2,427","11,399,686","74,591","35,520,810","21.290060095","209.992396007","9.863400811",,,,"0"
"case","APR 2021","202116","50-64","all_types","2,219","12,504,087","36,385","19,305,225","17.746197703","188.472291828","10.62043233",,,,"0"
"case","APR 2021","202116","65-79","all_types","2,026","18,200,254","12,021","6,550,555","11.131712777","183.511168138","16.485438657",,,,"0"
"case","APR 2021","202116","80+","all_types","913","5,762,774","3,003","2,276,086","15.843064469","131.937018197","8.327746091",,,,"0"
"case","APR 2021","202116","all_ages_adj","all_types","8,492","52,066,869","206,848","108,312,230","16.309795774","190.973817084","11.709148277","18.163910928","191.780596332","10.558331688","1"
"case","APR 2021","202116","all_ages_adj","Janssen","2,051","4,648,735","206,848","108,312,230","44.119529291","190.973817084","4.328555181","40.01410525","191.780596332","4.792824809","1"
"case","APR 2021","202116","all_ages_adj","Moderna","2,215","21,812,396","206,848","108,312,230","10.154776211","190.973817084","18.806304848","14.527973579","191.780596332","13.200780913","1"
"case","APR 2021","202116","all_ages_adj","Pfizer","4,200","25,542,156","206,848","108,312,230","16.443404386","190.973817084","11.614007209","17.271728653","191.780596332","11.103729116","1"
"case","APR 2021","202117","12-17","all_types","24","137,801","24,494","16,766,824","17.416419329","146.086104321","8.387838026",,,,"0"
"case","APR 2021","202117","18-29","all_types","949","5,186,308","49,243","26,418,794","18.298180517","186.393822519","10.186467575",,,,"0"
"case","APR 2021","202117","30-49","all_types","2,691","13,832,403","64,986","33,594,142","19.45432041","193.444440403","9.943520839",,,,"0"
"case","APR 2021","202117","50-64","all_types","2,330","15,593,884","30,221","18,045,329","14.94175537","167.472701661","11.208368596",,,,"0"
"case","APR 2021","202117","65-79","all_types","2,009","19,345,500","10,223","6,161,424","10.384844021","165.919436806","15.977075484",,,,"0"
"case","APR 2021","202117","80+","all_types","991","6,003,038","2,530","2,189,290","16.50830796","115.562579649","7.000267982",,,,"0"
"case","APR 2021","202117","all_ages_adj","all_types","8,994","60,098,934","181,697","103,175,803","14.965323678","176.104275147","11.767488558","17.064809151","176.234057221","10.327338305","1"
"case","APR 2021","202117","all_ages_adj","Janssen","2,277","5,851,364","181,697","103,175,803","38.914003641","176.104275147","4.52547306","35.518642802","176.234057221","4.961733989","1"
"case","APR 2021","202117","all_ages_adj","Moderna","2,332","24,805,725","181,697","103,175,803","9.401055603","176.104275147","18.732393742","15.096201084","176.234057221","11.674066624","1"
"case","APR 2021","202117","all_ages_adj","Pfizer","4,364","29,374,958","181,697","103,175,803","14.856191454","176.104275147","11.853931453","15.997654093","176.234057221","11.016243769","1"
"case","MAY 2021","202118","12-17","all_types","9","234,168","19,421","16,599,478","3.843394486","116.997654987","30.441229859",,,,"0"
"case","MAY 2021","202118","18-29","all_types","854","6,237,536","38,984","25,539,887","13.691303746","152.639672995","11.148658728",,,,"0"
"case","MAY 2021","202118","30-49","all_types","2,273","16,217,223","53,203","32,190,119","14.015963152","165.27742566","11.792084773",,,,"0"
"case","MAY 2021","202118","50-64","all_types","2,076","18,488,009","25,143","17,103,014","11.22889977","147.009176277","13.092037447",,,,"0"
"case","MAY 2021","202118","65-79","all_types","1,732","20,151,981","8,733","5,849,160","8.594688532","149.303489732","17.371599817",,,,"0"
"case","MAY 2021","202118","80+","all_types","909","6,167,725","2,165","2,118,669","14.738011179","102.186797466","6.933554075",,,,"0"
"case","MAY 2021","202118","all_ages_adj","all_types","7,853","67,496,642","147,649","99,400,327","11.634652877","148.539752792","12.767011992","11.812540365","150.178970301","12.713520179","1"
"case","MAY 2021","202118","all_ages_adj","Janssen","1,706","5,861,831","147,649","99,400,327","29.103534373","148.539752792","5.103838966","26.655770364","150.178970301","5.634013508","1"
"case","MAY 2021","202118","all_ages_adj","Moderna","2,023","27,995,179","147,649","99,400,327","7.226244204","148.539752792","20.555595492","7.124504885","150.178970301","21.079215008","1"
"case","MAY 2021","202118","all_ages_adj","Pfizer","4,104","33,569,462","147,649","99,400,327","12.225396999","148.539752792","12.150096459","11.7744255","150.178970301","12.754674978","1"
"case","MAY 2021","202119","12-17","all_types","21","394,429","15,132","16,216,995","5.324152129","93.30951881","17.525704855",,,,"0"
"case","MAY 2021","202119","18-29","all_types","779","7,555,423","31,681","24,816,033","10.310475006","127.663434361","12.381915895",,,,"0"
"case","MAY 2021","202119","30-49","all_types","1,957","18,860,923","43,592","31,106,939","10.375950318","140.135935587","13.505841035",,,,"0"
"case","MAY 2021","202119","50-64","all_types","1,844","20,972,535","20,958","16,397,585","8.792451652","127.81150395","14.536503471",,,,"0"
"case","MAY 2021","202119","65-79","all_types","1,647","20,772,113","7,616","5,604,334","7.928899674","135.894827111","17.139178536",,,,"0"
"case","MAY 2021","202119","80+","all_types","778","6,294,735","2,069","2,061,701","12.359535389","100.354028057","8.119563147",,,,"0"
"case","MAY 2021","202119","all_ages_adj","all_types","7,026","74,850,158","121,048","96,203,587","9.386753733","125.824830211","13.404509567","9.357092229","128.552954232","13.738557993","1"
"case","MAY 2021","202119","all_ages_adj","Janssen","1,333","6,013,754","121,048","96,203,587","22.165855138","125.824830211","5.676515949","20.210060732","128.552954232","6.360839581","1"
"case","MAY 2021","202119","all_ages_adj","Moderna","1,920","30,882,168","121,048","96,203,587","6.217180089","125.824830211","20.238247631","9.218561359","128.552954232","13.945012592","1"
"case","MAY 2021","202119","all_ages_adj","Pfizer","3,758","37,881,496","121,048","96,203,587","9.920410746","125.824830211","12.68342949","9.35160892","128.552954232","13.746613586","1"
"case","MAY 2021","202120","12-17","all_types","25","653,326","11,017","14,921,174","3.826573564","73.834672795","19.295244575",,,,"0"
"case","MAY 2021","202120","18-29","all_types","719","9,206,840","23,715","24,024,404","7.809411264","98.71212622","12.640149543",,,,"0"
"case","MAY 2021","202120","30-49","all_types","1,925","21,646,177","32,974","29,932,397","8.893025313","110.161575099","12.387412744",,,,"0"
"case","MAY 2021","202120","50-64","all_types","1,711","22,957,024","15,842","15,698,622","7.453056633","100.913315831","13.539856303",,,,"0"
"case","MAY 2021","202120","65-79","all_types","1,479","21,288,842","5,886","5,372,778","6.947301314","109.552265141","15.769038968",,,,"0"
"case","MAY 2021","202120","80+","all_types","699","6,401,691","1,523","2,010,441","10.918989998","75.75452351","6.937869118",,,,"0"
"case","MAY 2021","202120","all_ages_adj","all_types","6,558","82,153,900","90,957","91,959,816","7.982579038","98.9095063","12.390670463","7.759796454","101.047842065","13.021970701","1"
"case","MAY 2021","202120","all_ages_adj","Janssen","1,219","6,388,499","90,957","91,959,816","19.081164449","98.9095063","5.183620034","17.261276409","101.047842065","5.854019116","1"
"case","MAY 2021","202120","all_ages_adj","Moderna","1,826","33,315,543","90,957","91,959,816","5.480925225","98.9095063","18.046133134","6.450113611","101.047842065","15.666056159","1"
"case","MAY 2021","202120","all_ages_adj","Pfizer","3,501","42,373,658","90,957","91,959,816","8.262208564","98.9095063","11.971315604","7.727675715","101.047842065","13.076097625","1"
"case","MAY 2021","202121","12-17","all_types","30","926,757","7,158","14,162,088","3.237094513","50.543394449","15.61381487",,,,"0"
"case","MAY 2021","202121","18-29","all_types","636","10,733,721","17,423","23,355,004","5.92525183","74.600715119","12.590302869",,,,"0"
"case","MAY 2021","202121","30-49","all_types","1,629","24,023,089","24,908","28,978,298","6.780976418","85.953978388","12.675752441",,,,"0"
"case","MAY 2021","202121","50-64","all_types","1,461","24,433,978","11,936","15,149,609","5.979378389","78.787511942","13.176538901",,,,"0"
"case","MAY 2021","202121","65-79","all_types","1,204","21,701,845","4,591","5,189,863","5.547915396","88.460909276","15.944891542",,,,"0"
"case","MAY 2021","202121","80+","all_types","618","6,490,686","1,179","1,969,705","9.521335649","59.856679046","6.286584283",,,,"0"
"case","MAY 2021","202121","all_ages_adj","all_types","5,578","88,310,076","67,195","88,804,567","6.316380024","75.666153521","11.979354192","6.074288349","78.015543224","12.843569277","1"
"case","MAY 2021","202121","all_ages_adj","Janssen","1,014","6,758,626","67,195","88,804,567","15.003049436","75.666153521","5.043384936","13.637080131","78.015543224","5.720839247","1"
"case","MAY 2021","202121","all_ages_adj","Moderna","1,516","35,599,844","67,195","88,804,567","4.258445627","75.666153521","17.76849117","6.128703978","78.015543224","12.729533601","1"
"case","MAY 2021","202121","all_ages_adj","Pfizer","3,040","45,873,791","67,195","88,804,567","6.626877643","75.666153521","11.418070107","6.169311468","78.015543224","12.645745579","1"
"case","JUN 2021","202122","12-17","all_types","40","1,168,322","5,364","13,701,792","3.423713668","39.148163977","11.434415309",,,,"0"
"case","JUN 2021","202122","18-29","all_types","608","11,985,984","13,738","22,891,584","5.072591453","60.013321927","11.830899941",,,,"0"
"case","JUN 2021","202122","30-49","all_types","1,582","25,989,524","19,899","28,302,357","6.087068005","70.308631892","11.550492263",,,,"0"
"case","JUN 2021","202122","50-64","all_types","1,348","25,627,138","9,393","14,764,480","5.260048937","63.61890158","12.094735684",,,,"0"
"case","JUN 2021","202122","65-79","all_types","1,142","22,053,067","3,672","5,063,521","5.17841804","72.518707832","14.004027343",,,,"0"
"case","JUN 2021","202122","80+","all_types","517","6,568,837","936","1,942,077","7.870495188","48.195823338","6.123607497",,,,"0"
"case","JUN 2021","202122","all_ages_adj","all_types","5,237","93,392,872","53,002","86,665,811","5.607494328","61.156757652","10.906254037","5.4344096","63.229431181","11.635013891","1"
"case","JUN 2021","202122","all_ages_adj","Janssen","914","7,142,988","53,002","86,665,811","12.795765582","61.156757652","4.779452801","13.695585521","63.229431181","4.616774587","1"
"case","JUN 2021","202122","all_ages_adj","Moderna","1,500","37,671,076","53,002","86,665,811","3.981834764","61.156757652","15.358939103","3.649384291","63.229431181","17.326054518","1"
"case","JUN 2021","202122","all_ages_adj","Pfizer","2,816","48,499,400","53,002","86,665,811","5.806257397","61.156757652","10.532905014","5.487679787","63.229431181","11.522070098","1"
"case","JUN 2021","202123","12-17","all_types","43","1,327,897","4,514","13,295,281","3.238202963","33.951896165","10.484795596",,,,"0"
"case","JUN 2021","202123","18-29","all_types","710","12,886,541","12,674","22,472,728","5.509624344","56.397247366","10.236132964",,,,"0"
"case","JUN 2021","202123","30-49","all_types","1,611","27,401,880","17,974","27,688,507","5.879158656","64.915020517","11.041549363",,,,"0"
"case","JUN 2021","202123","50-64","all_types","1,498","26,509,352","8,496","14,423,642","5.650835977","58.903292248","10.423819147",,,,"0"
"case","JUN 2021","202123","65-79","all_types","1,136","22,327,869","3,280","4,948,635.400000002","5.087812007","66.280898366","13.027387464",,,,"1"
"case","JUN 2021","202123","80+","all_types","520","6,631,384","819","1,915,563","7.841500356","42.755054258","5.45240736",,,,"0"
"case","JUN 2021","202123","all_ages_adj","all_types","5,518","97,084,923","47,757","84,744,356.4","5.683683758","56.354195169","9.915082817","5.482304563","58.226028651","10.620721265","1"
"case","JUN 2021","202123","all_ages_adj","Janssen","937","7,498,236","47,757","84,744,356.4","12.496272457","56.354195169","4.509680416","13.35278144","58.226028651","4.360591755","1"
"case","JUN 2021","202123","all_ages_adj","Moderna","1,550","39,318,396","47,757","84,744,356.4","3.942175057","56.354195169","14.295203625","3.549760379","58.226028651","16.402805382","1"
"case","JUN 2021","202123","all_ages_adj","Pfizer","3,020","50,187,636","47,757","84,744,356.4","6.017418314","56.354195169","9.365178259","5.657764142","58.226028651","10.291349584","1"
"case","JUN 2021","202124","12-17","all_types","53","1,725,552","4,318","12,982,601","3.071480894","33.259899153","10.828619906",,,,"0"
"case","JUN 2021","202124","18-29","all_types","769","13,494,646","12,301","22,105,605","5.698556302","55.646520419","9.765020731",,,,"0"
"case","JUN 2021","202124","30-49","all_types","1,827","28,334,355","16,985","27,160,121","6.448002787","62.536540246","9.69859076",,,,"0"
"case","JUN 2021","202124","50-64","all_types","1,536","27,091,783","8,058","14,135,218","5.669615765","57.006549174","10.054746483",,,,"0"
"case","JUN 2021","202124","65-79","all_types","1,219","22,521,341","2,943","4,853,191.400000002","5.412643945","60.640509665","11.203491358",,,,"1"
"case","JUN 2021","202124","80+","all_types","537","6,675,303","756","1,893,065","8.044578651","39.9352373","4.96424226",,,,"0"
"case","JUN 2021","202124","all_ages_adj","all_types","5,941","99,842,980","45,361","83,129,801.4","5.950343229","54.566472235","9.170306676","5.759592228","56.040432416","9.729930558","1"
"case","JUN 2021","202124","all_ages_adj","Janssen","964","7,757,638","45,361","83,129,801.4","12.426462797","54.566472235","4.391150815","11.426172982","56.040432416","4.904567129","1"
"case","JUN 2021","202124","all_ages_adj","Moderna","1,625","40,383,150","45,361","83,129,801.4","4.023955536","54.566472235","13.560406358","3.647578069","56.040432416","15.363737625","1"
"case","JUN 2021","202124","all_ages_adj","Pfizer","3,348","51,620,230","45,361","83,129,801.4","6.485829296","54.566472235","8.413183534","6.139239731","56.040432416","9.128236536","1"
"case","JUN 2021","202125","12-17","all_types","101","2,947,811","4,913","12,639,894","3.426271223","38.868996844","11.344401629",,,,"0"
"case","JUN 2021","202125","18-29","all_types","1,073","14,099,316","13,782","21,772,853","7.610298258","63.299008173","8.317546307",,,,"0"
"case","JUN 2021","202125","30-49","all_types","2,571","29,220,840","18,783","26,686,115","8.798515032","70.3849174","7.999635977",,,,"0"
"case","JUN 2021","202125","50-64","all_types","1,942","27,614,728","8,488","13,869,967","7.03247919","61.196973288","8.702048258",,,,"0"
"case","JUN 2021","202125","65-79","all_types","1,549","22,696,249","3,203","4,764,401.400000002","6.824916311","67.227752893","9.85034099",,,,"1"
"case","JUN 2021","202125","80+","all_types","576","6,715,260","790","1,872,412","8.577478757","42.19156895","4.918877696",,,,"0"
"case","JUN 2021","202125","all_ages_adj","all_types","7,812","103,294,204","49,959","81,605,642.4","7.562863837","61.220031521","8.094821332","7.460664581","62.589301503","8.389239434","1"
"case","JUN 2021","202125","all_ages_adj","Janssen","1,159","8,016,228","49,959","81,605,642.4","14.458171599","61.220031521","4.234285857","13.172266426","62.589301503","4.75159699","1"
"case","JUN 2021","202125","all_ages_adj","Moderna","2,128","41,210,345","49,959","81,605,642.4","5.163751966","61.220031521","11.855726597","4.823237659","62.589301503","12.976615694","1"
"case","JUN 2021","202125","all_ages_adj","Pfizer","4,511","53,984,675","49,959","81,605,642.4","8.356075127","61.220031521","7.326409898","8.174174582","62.589301503","7.656956782","1"
"case","JUN 2021","202126","12-17","all_types","159","3,762,205","6,880","12,337,302","4.226244981","55.765839241","13.195126995",,,,"0"
"case","JUN 2021","202126","18-29","all_types","1,850","14,680,605","18,147","21,458,553","12.60166049","84.567677979","6.710836087",,,,"0"
"case","JUN 2021","202126","30-49","all_types","4,222","30,054,417","24,808","26,242,240","14.047851935","94.534612899","6.729471049",,,,"0"
"case","JUN 2021","202126","50-64","all_types","2,862","28,088,516","10,324","13,626,935","10.189217544","75.76171751","7.435479436",,,,"0"
"case","JUN 2021","202126","65-79","all_types","1,993","22,852,175","3,858","4,684,036.400000002","8.721270514","82.364859505","9.44413539",,,,"1"
"case","JUN 2021","202126","80+","all_types","771","6,749,888","932","1,854,339","11.42241175","50.260497137","4.400165065",,,,"0"
"case","JUN 2021","202126","all_ages_adj","all_types","11,857","106,187,806","64,949","80,203,405.4","11.166065527","80.980351989","7.252362239","11.345846465","82.033629182","7.230278449","1"
"case","JUN 2021","202126","all_ages_adj","Janssen","1,827","8,256,559","64,949","80,203,405.4","22.127862224","80.980351989","3.659655468","22.00133081","82.033629182","3.72857578","1"
"death","JUL 2022","202227","50-64","all_types","117","32,986,901","98","6,122,190.6","0.354686243","1.600734221","4.513099254",,,,"1"
"case","JUN 2021","202126","all_ages_adj","Moderna","3,110","41,968,408","64,949","80,203,405.4","7.410335889","80.980351989","10.928027178","7.285740026","82.033629182","11.259477951","1"
"case","JUN 2021","202126","all_ages_adj","Pfizer","6,904","55,879,028","64,949","80,203,405.4","12.355261441","80.980351989","6.5543212","12.429703456","82.033629182","6.599805818","1"
"case","JUL 2021","202127","12-17","all_types","247","4,204,405","9,582","12,112,380","5.874790844","79.109142877","13.465865419",,,,"0"
"case","JUL 2021","202127","18-29","all_types","3,462","15,097,896","29,076","21,196,571","22.930347381","137.173130503","5.982165391",,,,"0"
"case","JUL 2021","202127","30-49","all_types","7,120","30,649,463","37,324","25,875,227","23.230423319","144.246077532","6.209360697",,,,"0"
"case","JUL 2021","202127","50-64","all_types","4,751","28,431,040","15,264","13,424,686","16.71060925","113.700983397","6.804119569",,,,"0"
"case","JUL 2021","202127","65-79","all_types","3,263","22,966,871","5,503","4,615,757.3","14.207420767","119.222039686","8.391532963",,,,"1"
"case","JUL 2021","202127","80+","all_types","1,052","6,775,173","1,223","1,838,809","15.527278787","66.510442357","4.283457731",,,,"0"
"case","JUL 2021","202127","all_ages_adj","all_types","19,895","108,124,848","97,972","79,063,430.3","18.400025866","123.915696079","6.734539233","18.866307758","124.644272736","6.606712576","1"
"case","JUL 2021","202127","all_ages_adj","Janssen","2,873","8,451,829","97,972","79,063,430.3","33.992642303","123.915696079","3.645368165","31.077261456","124.644272736","4.010786887","1"
"case","JUL 2021","202127","all_ages_adj","Moderna","5,057","42,516,716","97,972","79,063,430.3","11.894145352","123.915696079","10.41820933","11.846917648","124.644272736","10.521240752","1"
"case","JUL 2021","202127","all_ages_adj","Pfizer","11,918","57,071,902","97,972","79,063,430.3","20.882430027","123.915696079","5.933969175","21.32358849","124.644272736","5.845370388","1"
"case","JUL 2021","202128","12-17","all_types","516","4,558,408","15,458","11,849,982","11.319741454","130.447455532","11.523890017",,,,"0"
"case","JUL 2021","202128","18-29","all_types","6,234","15,428,400","47,207","20,915,071","40.406004511","225.708055211","5.586002822",,,,"0"
"case","JUL 2021","202128","30-49","all_types","13,337","31,120,481","60,050","25,487,559","42.856021409","235.60514367","5.497597209",,,,"0"
"case","JUL 2021","202128","50-64","all_types","8,820","28,696,819","24,105","13,210,088","30.735113881","182.474181853","5.936993842",,,,"0"
"case","JUL 2021","202128","65-79","all_types","5,802","23,056,067","8,173","4,543,765.3","25.164742972","179.872846866","7.147811804",,,,"1"
"case","JUL 2021","202128","80+","all_types","1,940","6,795,364","1,824","1,822,379","28.54887538","100.088949664","3.505880646",,,,"0"
"case","JUL 2021","202128","all_ages_adj","all_types","36,649","109,655,539","156,817","77,828,844.3","33.421932293","201.489565225","6.028662959","34.350212424","201.436860871","5.864210049","1"
"case","JUL 2021","202128","all_ages_adj","Janssen","5,105","8,608,934","156,817","77,828,844.3","59.298863251","201.489565225","3.397865561","57.350279564","201.436860871","3.512395448","1"
"case","JUL 2021","202128","all_ages_adj","Moderna","9,704","42,897,688","156,817","77,828,844.3","22.621265743","201.489565225","8.907086258","23.778011623","201.436860871","8.471560367","1"
"case","JUL 2021","202128","all_ages_adj","Pfizer","21,721","58,063,944","156,817","77,828,844.3","37.40875749","201.489565225","5.38616032","38.357044548","201.436860871","5.25162622","1"
"case","JUL 2021","202129","12-17","all_types","955","4,825,308","25,649","11,548,072","19.791482741","222.106339482","11.222319338",,,,"0"
"case","JUL 2021","202129","18-29","all_types","10,801","15,704,347","74,427","20,604,079","68.777135401","361.224590529","5.252102874",,,,"0"
"case","JUL 2021","202129","30-49","all_types","22,850","31,506,094","97,561","25,032,638","72.525651704","389.735192911","5.373756509",,,,"0"
"case","JUL 2021","202129","50-64","all_types","15,961","28,913,051","39,102","12,943,945","55.203444285","302.08719212","5.472252611",,,,"0"
"case","JUL 2021","202129","65-79","all_types","10,579","23,131,900","13,316","4,454,258.3","45.733381175","298.949883531","6.536798195",,,,"1"
"case","JUL 2021","202129","80+","all_types","3,416","6,812,220","2,926","1,802,934","50.145180279","162.291021191","3.236423128",,,,"0"
"case","JUL 2021","202129","all_ages_adj","all_types","64,562","110,892,920","252,981","76,385,926.3","58.22012803","331.18797173","5.688547637","59.278831227","331.593409279","5.593791281","1"
"case","JUL 2021","202129","all_ages_adj","Janssen","8,468","8,748,145","252,981","76,385,926.3","96.797663962","331.18797173","3.421445913","90.905635837","331.593409279","3.647666135","1"
"case","JUL 2021","202129","all_ages_adj","Moderna","17,317","43,204,111","252,981","76,385,926.3","40.081833879","331.18797173","8.262794879","42.551955825","331.593409279","7.792671403","1"
"case","JUL 2021","202129","all_ages_adj","Pfizer","38,573","58,855,067","252,981","76,385,926.3","65.538962006","331.18797173","5.053299009","66.770246538","331.593409279","4.966185187","1"
"case","JUL 2021","202130","12-17","all_types","1,647","5,083,356","37,968","11,183,138","32.399855529","339.511146156","10.478785804",,,,"0"
"case","JUL 2021","202130","18-29","all_types","16,603","15,988,874","108,708","20,193,554","103.840958406","538.330201806","5.184179827",,,,"0"
"case","JUL 2021","202130","30-49","all_types","34,113","31,895,875","140,533","24,409,882","106.951133963","575.721750724","5.383035498",,,,"0"
"case","JUL 2021","202130","50-64","all_types","24,131","29,129,372","57,087","12,588,116","82.840783523","453.499157459","5.47434655",,,,"0"
"case","JUL 2021","202130","65-79","all_types","16,819","23,208,127","19,768","4,337,929.3","72.470303183","455.701295086","6.288110786",,,,"1"
"case","JUL 2021","202130","80+","all_types","5,279","6,829,557","4,570","1,779,421","77.296375153","256.825113337","3.322602293",,,,"0"
"case","JUL 2021","202130","all_ages_adj","all_types","98,592","112,135,161","368,634","74,492,040.3","87.922467066","494.86361028","5.628409061","89.177001964","495.516012146","5.556544863","1"
"case","JUL 2021","202130","all_ages_adj","Janssen","12,253","8,892,993","368,634","74,492,040.3","137.782634036","494.86361028","3.591625416","124.666978076","495.516012146","3.974717442","1"
"case","JUL 2021","202130","all_ages_adj","Moderna","27,485","43,503,727","368,634","74,492,040.3","63.178495029","494.86361028","7.832785666","64.708343435","495.516012146","7.657683474","1"
"case","JUL 2021","202130","all_ages_adj","Pfizer","58,582","59,652,474","368,634","74,492,040.3","98.205482643","494.86361028","5.039062962","100.10485736","495.516012146","4.949969714","1"
"case","AUG 2021","202131","12-17","all_types","2,462","5,317,088","46,937","10,758,116","46.303540585","436.293864093","9.422473068",,,,"0"
"case","AUG 2021","202131","18-29","all_types","20,648","16,248,510","127,704","19,728,293","127.076267301","647.313987074","5.093901488",,,,"0"
"case","AUG 2021","202131","30-49","all_types","43,678","32,253,896","168,809","23,699,686","135.419299424","712.283698611","5.259838898",,,,"0"
"case","AUG 2021","202131","50-64","all_types","32,336","29,334,984","71,470","12,197,709","110.230160685","585.929702045","5.315511639",,,,"0"
"case","AUG 2021","202131","65-79","all_types","22,604","23,280,402","25,434","4,214,916.450000001","97.094543299","603.428331302","6.214853181",,,,"1"
"case","AUG 2021","202131","80+","all_types","7,128","6,845,913","5,772","1,753,908","104.120516869","329.093658276","3.16069943",,,,"0"
"case","AUG 2021","202131","all_ages_adj","all_types","128,856","113,280,793","446,126","72,352,628.45","113.749203715","616.599575658","5.420693557","114.427973372","620.532932322","5.422912895","1"
"case","AUG 2021","202131","all_ages_adj","Janssen","15,361","9,018,968","446,126","72,352,628.45","170.3188214","616.599575658","3.620266807","155.762021251","620.532932322","3.983852593","1"
"case","AUG 2021","202131","all_ages_adj","Moderna","36,547","43,768,494","446,126","72,352,628.45","83.500702583","616.599575658","7.384363923","88.692006735","620.532932322","6.996492189","1"
"case","AUG 2021","202131","all_ages_adj","Pfizer","76,560","60,406,989","446,126","72,352,628.45","126.740301524","616.599575658","4.86506319","128.281729022","620.532932322","4.837266671","1"
"case","AUG 2021","202132","12-17","all_types","3,012","5,520,473","59,534","10,327,591","54.560542185","576.455825952","10.565434339",,,,"0"
"case","AUG 2021","202132","18-29","all_types","21,442","16,493,319","135,314","19,247,479","130.004155016","703.021938613","5.407688228",,,,"0"
"case","AUG 2021","202132","30-49","all_types","48,977","32,592,643","184,587","22,962,541","150.270108503","803.861384504","5.34944303",,,,"0"
"case","AUG 2021","202132","50-64","all_types","37,021","29,531,911","80,453","11,815,171","125.359310476","680.929628526","5.43182334",,,,"0"
"case","AUG 2021","202132","65-79","all_types","26,069","23,349,459","29,232","4,096,358.45","111.647126385","713.609425464","6.391650628",,,,"1"
"case","AUG 2021","202132","80+","all_types","8,507","6,860,950","6,828","1,728,940","123.991575511","394.924057515","3.185087825",,,,"0"
"case","AUG 2021","202132","all_ages_adj","all_types","145,028","114,348,755","495,948","70,178,080.45","126.829540033","706.699295307","5.572040198","126.507968921","711.892010794","5.627250337","1"
"case","AUG 2021","202132","all_ages_adj","Janssen","16,932","9,159,361","495,948","70,178,080.45","184.860057377","706.699295307","3.822888002","168.288991078","711.892010794","4.23017576","1"
